"Statistic Label","Year","Nationality of Ownership","UNIT","VALUE"
"Estimated Current Expenditure - Other Current Costs","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2007","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2007","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2008","All nationalities of ownership","Euro Thousand","510286"
"Estimated Current Expenditure - Other Current Costs","2008","Irish ownership","Euro Thousand","160376"
"Estimated Current Expenditure - Other Current Costs","2008","Non Irish ownership","Euro Thousand","349910"
"Estimated Current Expenditure - Other Current Costs","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2009","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2009","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2010","All nationalities of ownership","Euro Thousand","566040"
"Estimated Current Expenditure - Other Current Costs","2010","Irish ownership","Euro Thousand","163132"
"Estimated Current Expenditure - Other Current Costs","2010","Non Irish ownership","Euro Thousand","402908"
"Estimated Current Expenditure - Other Current Costs","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2011","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2011","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2012","All nationalities of ownership","Euro Thousand","641039"
"Estimated Current Expenditure - Other Current Costs","2012","Irish ownership","Euro Thousand","179132"
"Estimated Current Expenditure - Other Current Costs","2012","Non Irish ownership","Euro Thousand","461906"
"Estimated Current Expenditure - Other Current Costs","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2013","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2013","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2014","All nationalities of ownership","Euro Thousand","631774"
"Estimated Current Expenditure - Other Current Costs","2014","Irish ownership","Euro Thousand","212096"
"Estimated Current Expenditure - Other Current Costs","2014","Non Irish ownership","Euro Thousand","419678"
"Estimated Current Expenditure - Other Current Costs","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2015","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2015","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2016","All nationalities of ownership","Euro Thousand","697871"
"Estimated Current Expenditure - Other Current Costs","2016","Irish ownership","Euro Thousand","255923"
"Estimated Current Expenditure - Other Current Costs","2016","Non Irish ownership","Euro Thousand","441948"
"Estimated Current Expenditure - Other Current Costs","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2017","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2017","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2018","All nationalities of ownership","Euro Thousand","821929"
"Estimated Current Expenditure - Other Current Costs","2018","Irish ownership","Euro Thousand","250183"
"Estimated Current Expenditure - Other Current Costs","2018","Non Irish ownership","Euro Thousand","571745"
"Estimated Current Expenditure - Other Current Costs","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2019","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2019","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2020","All nationalities of ownership","Euro Thousand","796039"
"Estimated Current Expenditure - Other Current Costs","2020","Irish ownership","Euro Thousand","235744"
"Estimated Current Expenditure - Other Current Costs","2020","Non Irish ownership","Euro Thousand","560295"
"Estimated Current Expenditure - Other Current Costs","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2021","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2021","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2022","All nationalities of ownership","Euro Thousand","1972629"
"Estimated Current Expenditure - Other Current Costs","2022","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2022","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2023","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2023","Non Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2024","All nationalities of ownership","Euro Thousand","1938219"
"Estimated Current Expenditure - Other Current Costs","2024","Irish ownership","Euro Thousand",""
"Estimated Current Expenditure - Other Current Costs","2024","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2007","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2007","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2008","All nationalities of ownership","Euro Thousand","1415659"
"Estimated Total Current Expenditure","2008","Irish ownership","Euro Thousand","469074"
"Estimated Total Current Expenditure","2008","Non Irish ownership","Euro Thousand","946585"
"Estimated Total Current Expenditure","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2009","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2009","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2010","All nationalities of ownership","Euro Thousand","1532181"
"Estimated Total Current Expenditure","2010","Irish ownership","Euro Thousand","490141"
"Estimated Total Current Expenditure","2010","Non Irish ownership","Euro Thousand","1042040"
"Estimated Total Current Expenditure","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2011","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2011","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2012","All nationalities of ownership","Euro Thousand","1732405"
"Estimated Total Current Expenditure","2012","Irish ownership","Euro Thousand","543938"
"Estimated Total Current Expenditure","2012","Non Irish ownership","Euro Thousand","1188467"
"Estimated Total Current Expenditure","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2013","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2013","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2014","All nationalities of ownership","Euro Thousand","1927229"
"Estimated Total Current Expenditure","2014","Irish ownership","Euro Thousand","697179"
"Estimated Total Current Expenditure","2014","Non Irish ownership","Euro Thousand","1230051"
"Estimated Total Current Expenditure","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2015","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2015","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2016","All nationalities of ownership","Euro Thousand","2090611"
"Estimated Total Current Expenditure","2016","Irish ownership","Euro Thousand","841780"
"Estimated Total Current Expenditure","2016","Non Irish ownership","Euro Thousand","1248831"
"Estimated Total Current Expenditure","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2017","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2017","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2018","All nationalities of ownership","Euro Thousand","2541566"
"Estimated Total Current Expenditure","2018","Irish ownership","Euro Thousand","867527"
"Estimated Total Current Expenditure","2018","Non Irish ownership","Euro Thousand","1674038"
"Estimated Total Current Expenditure","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2019","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2019","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2020","All nationalities of ownership","Euro Thousand","2536714"
"Estimated Total Current Expenditure","2020","Irish ownership","Euro Thousand","737490"
"Estimated Total Current Expenditure","2020","Non Irish ownership","Euro Thousand","1799224"
"Estimated Total Current Expenditure","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2021","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2021","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2022","All nationalities of ownership","Euro Thousand","4586202"
"Estimated Total Current Expenditure","2022","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2022","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2023","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2023","Non Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2024","All nationalities of ownership","Euro Thousand","4704210"
"Estimated Total Current Expenditure","2024","Irish ownership","Euro Thousand",""
"Estimated Total Current Expenditure","2024","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2007","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2007","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2008","All nationalities of ownership","Euro Thousand","64304"
"Estimated Capital Expenditure - Land and Buildings","2008","Irish ownership","Euro Thousand","19870"
"Estimated Capital Expenditure - Land and Buildings","2008","Non Irish ownership","Euro Thousand","44434"
"Estimated Capital Expenditure - Land and Buildings","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2009","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2009","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2010","All nationalities of ownership","Euro Thousand","38081"
"Estimated Capital Expenditure - Land and Buildings","2010","Irish ownership","Euro Thousand","22334"
"Estimated Capital Expenditure - Land and Buildings","2010","Non Irish ownership","Euro Thousand","15747"
"Estimated Capital Expenditure - Land and Buildings","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2011","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2011","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2012","All nationalities of ownership","Euro Thousand","12902"
"Estimated Capital Expenditure - Land and Buildings","2012","Irish ownership","Euro Thousand","6641"
"Estimated Capital Expenditure - Land and Buildings","2012","Non Irish ownership","Euro Thousand","6262"
"Estimated Capital Expenditure - Land and Buildings","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2013","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2013","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2014","All nationalities of ownership","Euro Thousand","10900"
"Estimated Capital Expenditure - Land and Buildings","2014","Irish ownership","Euro Thousand","6089"
"Estimated Capital Expenditure - Land and Buildings","2014","Non Irish ownership","Euro Thousand","4812"
"Estimated Capital Expenditure - Land and Buildings","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2015","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2015","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2016","All nationalities of ownership","Euro Thousand","33944"
"Estimated Capital Expenditure - Land and Buildings","2016","Irish ownership","Euro Thousand","13800"
"Estimated Capital Expenditure - Land and Buildings","2016","Non Irish ownership","Euro Thousand","20144"
"Estimated Capital Expenditure - Land and Buildings","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2017","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2017","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2018","All nationalities of ownership","Euro Thousand","64849"
"Estimated Capital Expenditure - Land and Buildings","2018","Irish ownership","Euro Thousand","20721"
"Estimated Capital Expenditure - Land and Buildings","2018","Non Irish ownership","Euro Thousand","44128"
"Estimated Capital Expenditure - Land and Buildings","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2019","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2019","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2020","All nationalities of ownership","Euro Thousand","46397"
"Estimated Capital Expenditure - Land and Buildings","2020","Irish ownership","Euro Thousand","7630"
"Estimated Capital Expenditure - Land and Buildings","2020","Non Irish ownership","Euro Thousand","38767"
"Estimated Capital Expenditure - Land and Buildings","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2021","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2021","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2022","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2022","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2022","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2023","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2023","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2024","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2024","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Land and Buildings","2024","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2007","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2007","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2008","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2008","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2008","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2009","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2009","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2010","All nationalities of ownership","Euro Thousand","3203"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2010","Irish ownership","Euro Thousand","2206"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2010","Non Irish ownership","Euro Thousand","997"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2011","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2011","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2012","All nationalities of ownership","Euro Thousand","7061"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2012","Irish ownership","Euro Thousand","3787"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2012","Non Irish ownership","Euro Thousand","3274"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2013","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2013","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2014","All nationalities of ownership","Euro Thousand","12802"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2014","Irish ownership","Euro Thousand","4285"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2014","Non Irish ownership","Euro Thousand","8516"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2015","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2015","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2016","All nationalities of ownership","Euro Thousand","31870"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2016","Irish ownership","Euro Thousand","8046"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2016","Non Irish ownership","Euro Thousand","23824"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2017","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2017","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2018","All nationalities of ownership","Euro Thousand","16070"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2018","Irish ownership","Euro Thousand","7801"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2018","Non Irish ownership","Euro Thousand","8269"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2019","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2019","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2020","All nationalities of ownership","Euro Thousand","429894"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2020","Irish ownership","Euro Thousand","13325"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2020","Non Irish ownership","Euro Thousand","416568"
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2021","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2021","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2021","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2022","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2022","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2022","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2023","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2023","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2023","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2024","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2024","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure- Payments made for licences to use intellectual products","2024","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2007","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2007","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2007","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2008","All nationalities of ownership","Euro Thousand","206768"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2008","Irish ownership","Euro Thousand","32505"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2008","Non Irish ownership","Euro Thousand","174263"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2009","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2009","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2009","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2010","All nationalities of ownership","Euro Thousand","228053"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2010","Irish ownership","Euro Thousand","40882"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2010","Non Irish ownership","Euro Thousand","187171"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2011","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2011","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2011","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2012","All nationalities of ownership","Euro Thousand","85823"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2012","Irish ownership","Euro Thousand","17590"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2012","Non Irish ownership","Euro Thousand","68233"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2013","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2013","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2013","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2014","All nationalities of ownership","Euro Thousand","104341"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2014","Irish ownership","Euro Thousand","20418"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2014","Non Irish ownership","Euro Thousand","83923"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2015","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2015","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2015","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2016","All nationalities of ownership","Euro Thousand","99648"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2016","Irish ownership","Euro Thousand","32366"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2016","Non Irish ownership","Euro Thousand","67283"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2017","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2017","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2017","Non Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2018","All nationalities of ownership","Euro Thousand","103731"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2018","Irish ownership","Euro Thousand","26330"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2018","Non Irish ownership","Euro Thousand","77401"
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2019","All nationalities of ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2019","Irish ownership","Euro Thousand",""
"Estimated Capital Expenditure - Instruments and Equipment (excluding software)","2019","Non Irish ownership","Euro Thousand",""
