"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03337V04024","Type of Innovation","C02673V03235","NACE Rev 2 Sector","UNIT","VALUE"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","06","All enterprises using trade secrets","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","4.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","07","All enterprises claiming copyright","V1500","Industries (05 to 39)","%","3.2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","07","All enterprises claiming copyright","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","3.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2018","2018","07","All enterprises claiming copyright","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","3.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","01","Any intellectual innovation","V1500","Industries (05 to 39)","%","15.9"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","01","Any intellectual innovation","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","12.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","01","Any intellectual innovation","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","9.9"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","02","Apply for a patent","V1500","Industries (05 to 39)","%","8.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","02","Apply for a patent","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","02","Apply for a patent","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","4.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","03","Apply for a European utility model","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","03","Apply for a European utility model","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","03","Apply for a European utility model","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","04","Register an industrial design right","V1500","Industries (05 to 39)","%","1.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","04","Register an industrial design right","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","1.2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","04","Register an industrial design right","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","05","Register a trademark","V1500","Industries (05 to 39)","%","7.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","05","Register a trademark","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","6.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","05","Register a trademark","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","5.6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","06","All enterprises using trade secrets","V1500","Industries (05 to 39)","%","2.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","06","All enterprises using trade secrets","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","2.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","06","All enterprises using trade secrets","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","1.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","07","All enterprises claiming copyright","V1500","Industries (05 to 39)","%","4.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","07","All enterprises claiming copyright","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","3.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2020","2020","07","All enterprises claiming copyright","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","2.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","01","Any intellectual innovation","V1500","Industries (05 to 39)","%","13.8"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","01","Any intellectual innovation","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","13.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","01","Any intellectual innovation","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","13.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","02","Apply for a patent","V1500","Industries (05 to 39)","%","6.2"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","02","Apply for a patent","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","4.5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","02","Apply for a patent","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","3.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","03","Apply for a European utility model","V1500","Industries (05 to 39)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","03","Apply for a European utility model","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","03","Apply for a European utility model","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%",""
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","04","Register an industrial design right","V1500","Industries (05 to 39)","%","1.1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","04","Register an industrial design right","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","0.7"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","04","Register an industrial design right","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","0.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","05","Register a trademark","V1500","Industries (05 to 39)","%","6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","05","Register a trademark","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","5.6"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","05","Register a trademark","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","5.4"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","06","All enterprises using trade secrets","V1500","Industries (05 to 39)","%","5"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","06","All enterprises using trade secrets","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","3.9"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","06","All enterprises using trade secrets","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","3.3"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","07","All enterprises claiming copyright","V1500","Industries (05 to 39)","%","1"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","07","All enterprises claiming copyright","V1521","Industries and selected services (05 to 39,46,49 to 53,58 to 63,64 to 66,71 to 73)","%","1.3"
"CIS62","Enterprises Engaged in Intellectual Property Rights Activities","2022","2022","07","All enterprises claiming copyright","V3985R","Selected Services (46, 49-53, 58-63, 64-66, 71-73)","%","1.4"
