"STATISTIC","Statistic Label","TLIST(A1)","Year","C03315V03999","Provider","C03313V03997","Type of Financing Scheme","UNIT","VALUE"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","4600.61"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","1779.17"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","1693.14"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","86.03"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","01","Hospitals (HP.1)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","129.74"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3333.422217"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2641.713174"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2641.713174"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","92.6237982"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","20.03"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","72.5937982"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","05","Long-Term Residential Facilities (HP.2)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","599.0852455"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3642.304912"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2474.736503"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2464.286503"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","10.45"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","153.4594047"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","83.86"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","69.59940471"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","06","Ambulatory Health Care Provider (HP.3)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","1014.109004"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","306.2319543"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","182.32"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","182.32"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","74.13"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","73.89"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0.24"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","12","Ancillary Health Care Provider (HP.4)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","49.78195431"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","2735.015198"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2042.13"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2029.54"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","12.59"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","15","Retailer of Medical Goods (HP.5)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","692.885198"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","245.7"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","222.21"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","222.21"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","23.49"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","23.49"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","18","Providers of Preventive Care (HP.6)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","474.1"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","127.74"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","127.74"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","346.36"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","335.48"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","10.88"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","19","Providers of Health Care Administration and Financing (HP.7)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","808.4604875"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","694.32"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","667.24"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","27.08"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","108.2390375"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","108.2390375"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","23","Rest of the Economy (HP.8)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","5.90145001"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","24.16"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","7.18"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","7.18"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","16.98"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","16.92"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0.06"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","26","Rest of the World (HP.9)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","132.18"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","131.1"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","131.1"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","1.08"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","1.08"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","0"
"SHA14","Current Health Care Expenditure (Euro Million)","2011","2011","27","Providers N.E.C. (HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","18611.50544"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","13384.60047"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","13339.67047"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","44.93"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","2679.657896"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","2305.59"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","374.0678964"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","-","All Current Health Care Expenditure (HP.1 to HP.0)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","2547.247079"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","6521.79"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","4545.45"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","4545.45"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","1844.89"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","1758.26"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","86.63"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","01","Hospitals (HP.1)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","131.45"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3563.958124"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2809.028661"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2809.028661"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","97.8251359"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","22.85"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","74.9751359"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","05","Long-Term Residential Facilities (HP.2)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","657.1043273"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","3702.724679"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","2532.941808"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","2521.101808"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million","11.84"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","04","Voluntary Health Care Payment Schemes - ICHA-HF Code (HF.2)","Euro Million","151.831751"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","05","Voluntary Health Care Payment Schemes - Voluntary Health Insurance Schemes - ICHA-HF Code (HF.2.1)","Euro Million","82.58"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","06","Voluntary Health Care Payment Schemes - Other Voluntary Payment Schemes - ICHA-HF Code (HF.2.3)","Euro Million","69.25175099"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","06","Ambulatory Health Care Provider (HP.3)","07","Household Out-of-Pocket Payments - ICHA-HF Code (HF.3)","Euro Million","1017.95112"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","12","Ancillary Health Care Provider (HP.4)","-","All Current Health Care Expenditures - ICHA-HF Code (HF.1 - HF.3)","Euro Million","281.0153562"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","12","Ancillary Health Care Provider (HP.4)","01","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - ICHA-HF Code (HF.1)","Euro Million","170.22"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","12","Ancillary Health Care Provider (HP.4)","02","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Government Schemes - ICHA-HF Code (HF.1.1)","Euro Million","170.22"
"SHA14","Current Health Care Expenditure (Euro Million)","2012","2012","12","Ancillary Health Care Provider (HP.4)","03","Govt Financing Schemes and Compulsory Contributory Health Care Financing Schemes - Compulsory Contributory Health Insurance Schemes - ICHA-HF Code (HF.1.2)","Euro Million",""
